,year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
0,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,Gold,3
97,1896,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",GRE,Men,"team, parallel bars",Bronze,1
98,1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,"team, parallel bars",Bronze,1
99,1896,Gymnastics,Artistic G.,"BÃCKER, Konrad",GER,Men,"team, parallel bars",Gold,3
100,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, parallel bars",Gold,3
101,1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, parallel bars",Gold,3
102,1896,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, parallel bars",Gold,3
103,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, parallel bars",Gold,3
104,1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, parallel bars",Gold,3
105,1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, parallel bars",Gold,3
106,1896,Gymnastics,Artistic G.,"RÃSTEL, Richard",GER,Men,"team, parallel bars",Gold,3
107,1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, parallel bars",Gold,3
108,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, parallel bars",Gold,3
109,1896,Gymnastics,Artistic G.,"WEINGÃRTNER, Hermann",GER,Men,"team, parallel bars",Gold,3
110,1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,"team, parallel bars",Silver,2
111,1896,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",GRE,Men,"team, parallel bars",Silver,2
96,1896,Gymnastics,Artistic G.,"KARVELAS, Phillippos",GRE,Men,"team, parallel bars",Bronze,1
112,1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,"team, parallel bars",Silver,2
95,1896,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",GRE,Men,"team, parallel bars",Bronze,1
93,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, horizontal bar",Gold,3
78,1896,Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,rings,Bronze,1
79,1896,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,rings,Gold,3
80,1896,Gymnastics,Artistic G.,"WEINGÃRTNER, Hermann",GER,Men,rings,Silver,2
81,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,rope climbing,Bronze,1
82,1896,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,rope climbing,Gold,3
83,1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,rope climbing,Silver,2
84,1896,Gymnastics,Artistic G.,"BÃCKER, Konrad",GER,Men,"team, horizontal bar",Gold,3
85,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, horizontal bar",Gold,3
86,1896,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, horizontal bar",Gold,3
87,1896,Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, horizontal bar",Gold,3
88,1896,Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, horizontal bar",Gold,3
89,1896,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, horizontal bar",Gold,3
90,1896,Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, horizontal bar",Gold,3
91,1896,Gymnastics,Artistic G.,"RÃSTEL, Richard",GER,Men,"team, horizontal bar",Gold,3
92,1896,Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, horizontal bar",Gold,3
94,1896,Gymnastics,Artistic G.,"WEINGÃRTNER, Hermann",GER,Men,"team, horizontal bar",Gold,3
77,1896,Gymnastics,Artistic G.,"WEINGÃRTNER, Hermann",GER,Men,pommel horse,Silver,2
113,1896,Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,"team, parallel bars",Silver,2
115,1896,Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,vault,Gold,3
135,1896,Tennis,Tennis,"TRAUN, Friedrich",ZZX,Men,doubles,Gold,3
136,1896,Tennis,Tennis,"KASDAGLIS, Dionysios",ZZX,Men,doubles,Silver,2
137,1896,Tennis,Tennis,"PETROKOKKINOS, Demetrios",ZZX,Men,doubles,Silver,2
139,1896,Tennis,Tennis,"TAPAVICZA, Momcsillo",HUN,Men,singles,Bronze,1
140,1896,Tennis,Tennis,"BOLAND, John",GBR,Men,singles,Gold,3
141,1896,Tennis,Tennis,"KASDAGLIS, Dionysios",GRE,Men,singles,Silver,2
142,1896,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",GRE,Men,heavyweight - one hand lift,Bronze,1
143,1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - one hand lift,Gold,3
144,1896,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - one hand lift,Silver,2
145,1896,Weightlifting,Weightlifting,"VERSIS, Sotirios",GRE,Men,heavyweight - two hand lift,Bronze,1
146,1896,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - two hand lift,Gold,3
147,1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - two hand lift,Silver,2
148,1896,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",GRE,Men,open event,Bronze,1
149,1896,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",GER,Men,open event,Gold,3
150,1896,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",GRE,Men,open event,Silver,2
134,1896,Tennis,Tennis,"BOLAND, John",ZZX,Men,doubles,Gold,3
114,1896,Gymnastics,Artistic G.,"WEINGÃRTNER, Hermann",GER,Men,vault,Bronze,1
133,1896,Tennis,Tennis,"ROBERTSON, George Stuart",ZZX,Men,doubles,Bronze,1
131,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,"army rifle, 300m",Silver,2
116,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,vault,Silver,2
117,1896,Shooting,Shooting,"MORAKIS, Nikolaos",GRE,Men,25m army pistol,Bronze,1
118,1896,Shooting,Shooting,"PAINE, John",USA,Men,25m army pistol,Gold,3
119,1896,Shooting,Shooting,"PAINE, Sumner",USA,Men,25m army pistol,Silver,2
120,1896,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,25m rapid fire pistol (60 shots),Bronze,1
121,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,25m rapid fire pistol (60 shots),Gold,3
122,1896,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,25m rapid fire pistol (60 shots),Silver,2
123,1896,Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,50m pistol (60 shots),Bronze,1
124,1896,Shooting,Shooting,"PAINE, Sumner",USA,Men,50m pistol (60 shots),Gold,3
125,1896,Shooting,Shooting,"NIELSEN, Holger",DEN,Men,50m pistol (60 shots),Silver,2
126,1896,Shooting,Shooting,"TRIKUPIS, Nicolaos",GRE,Men,"army rifle, 200m",Bronze,1
127,1896,Shooting,Shooting,"KARASEVDAS, Pantelis",GRE,Men,"army rifle, 200m",Gold,3
128,1896,Shooting,Shooting,"PAVLIDIS, Pavlos",GRE,Men,"army rifle, 200m",Silver,2
129,1896,Shooting,Shooting,"JENSEN, Viggo",DEN,Men,"army rifle, 300m",Bronze,1
130,1896,Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,"army rifle, 300m",Gold,3
132,1896,Tennis,Tennis,"FLACK, Edwin",ZZX,Men,doubles,Bronze,1
76,1896,Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,pommel horse,Gold,3
138,1896,Tennis,Tennis,"PASPATIS, Konstantinos",GRE,Men,singles,Bronze,1
74,1896,Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,parallel bars,Gold,3
20,1896,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400m,Bronze,1
21,1896,Athletics,Athletics,"BURKE, Thomas",USA,Men,400m,Gold,3
22,1896,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400m,Silver,2
23,1896,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800m,Bronze,1
24,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800m,Gold,3
25,1896,Athletics,Athletics,"DANI, Nandor",HUN,Men,800m,Silver,2
26,1896,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,discus throw,Bronze,1
27,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,discus throw,Gold,3
28,1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,discus throw,Silver,2
29,1896,Athletics,Athletics,"CLARK, Ellery",USA,Men,high jump,Gold,3
30,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,high jump,Silver,2
31,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,high jump,Silver,2
32,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,long jump,Bronze,1
33,1896,Athletics,Athletics,"CLARK, Ellery",USA,Men,long jump,Gold,3
34,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,long jump,Silver,2
19,1896,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500m,Silver,2
35,1896,Athletics,Athletics,"KELLNER, Gyula",HUN,Men,marathon,Bronze,1
18,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500m,Gold,3
