year,country_code,medal_value
1896,HUN,3
1896,GRE,1
1896,GRE,1
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GRE,2
1896,GRE,2
1896,GRE,1
1896,GRE,2
1896,GRE,1
1896,GER,3
1896,GRE,1
1896,GRE,3
1896,GER,2
1896,GER,1
1896,GRE,3
1896,GRE,2
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,3
1896,GER,2
1896,GRE,2
1896,GER,3
1896,ZZX,3
1896,ZZX,2
1896,ZZX,2
1896,HUN,1
1896,GBR,3
1896,GRE,2
1896,GRE,1
1896,GBR,3
1896,DEN,2
1896,GRE,1
1896,DEN,3
1896,GBR,2
1896,GRE,1
1896,GER,3
1896,GRE,2
1896,ZZX,3
1896,GER,1
1896,ZZX,1
1896,GRE,2
1896,SUI,2
1896,GRE,1
1896,USA,3
1896,USA,2
1896,DEN,1
1896,GRE,3
1896,GRE,2
1896,GRE,1
1896,USA,3
1896,DEN,2
1896,GRE,1
1896,GRE,3
1896,GRE,2
1896,DEN,1
1896,GRE,3
1896,ZZX,1
1896,SUI,3
1896,GRE,1
1896,GER,3
1896,GBR,1
1896,USA,3
1896,USA,2
1896,GRE,1
1896,AUS,3
1896,HUN,2
1896,GRE,1
1896,USA,3
1896,GRE,2
1896,USA,3
1896,USA,2
1896,USA,2
1896,USA,1
1896,USA,3
1896,USA,2
1896,USA,2
1896,HUN,1
1896,AUS,3
1896,GBR,2
1896,SUI,2
1896,AUT,2
1896,GRE,1
1896,GRE,3
1896,GRE,2
1896,GRE,1
1896,HUN,3
1896,GRE,1
1896,AUT,3
1896,GRE,2
1896,USA,1
1896,HUN,1
1896,USA,3
1896,GER,2
1896,USA,3
1896,FRA,1
1896,GRE,3
1896,GRE,2
1896,GRE,1
1896,FRA,3
1896,GRE,2
1896,FRA,1
1896,FRA,3
1896,GRE,2
1896,GRE,1
1896,FRA,3
1896,FRA,2
1896,GRE,3
1896,FRA,2
1896,GRE,3
1896,GRE,2
1896,GER,3
1896,GRE,2
1896,GER,2
1896,AUT,1
1896,GBR,2
1896,DEN,1
1896,FRA,2
1896,AUT,3
1896,USA,2
1896,GRE,1
1896,GRE,1
1896,GRE,2
1896,GRE,1
1896,USA,3
1896,FRA,2
1896,USA,3
1896,GRE,3
1896,FRA,3
1896,GBR,1
1896,AUT,1
1896,GRE,2
1896,USA,3
1896,FRA,3
1896,GER,2
1900,FRA,2
1900,GBR,1
1900,FRA,2
1900,FRA,2
1900,ZZX,3
1900,FRA,3
1900,ZZX,3
1900,ZZX,3
1900,FRA,1
1900,FRA,1
1900,FRA,1
1900,FRA,2
1900,FRA,2
1900,NED,2
1900,FRA,2
1900,FRA,2
1900,FRA,2
1900,NED,2
1900,NED,2
1900,NED,2
1900,GER,3
1900,GER,3
1900,FRA,3
1900,GER,3
1900,GER,3
1900,FRA,3
1900,GER,3
1900,FRA,3
1900,NED,2
1900,FRA,3
1900,GBR,2
1900,FRA,3
1900,GBR,2
1900,FRA,3
1900,GBR,2
1900,GER,2
1900,GER,2
1900,GER,2
1900,GBR,2
1900,GER,2
1900,GER,2
1900,GBR,2
1900,GBR,2
1900,GBR,2
1900,GBR,2
1900,FRA,3
1900,GER,2
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,FRA,3
1900,GER,2
1900,FRA,3
1900,NED,1
1900,GER,1
1900,NED,1
1900,NED,1
1900,ZZX,2
1900,ZZX,2
1900,ZZX,2
1900,ZZX,2
1900,ZZX,3
1900,ZZX,3
1900,ZZX,3
1900,ZZX,3
1900,ZZX,1
1900,ZZX,1
1900,ZZX,1
1900,NED,1
1900,ZZX,1
1900,FRA,3
1900,FRA,1
1900,USA,2
1900,USA,3
1900,USA,1
1900,GBR,2
1900,USA,3
1900,GBR,1
1900,FRA,2
1900,FRA,2
1900,FRA,2
1900,FRA,2
1900,GER,2
1900,FRA,2
1900,FRA,3
1900,NED,1
1900,NED,1
1900,GER,1
1900,GER,1
1900,GER,1
1900,GER,1
1900,GER,1
1900,GER,1
1900,GER,1
1900,GER,1
1900,GER,1
1900,BEL,2
1900,BEL,2
1900,BEL,2
1900,BEL,2
1900,NED,1
1900,BEL,2
1900,BEL,2
1900,BEL,2
1900,BEL,2
1900,USA,3
1900,USA,3
1900,USA,3
1900,USA,3
1900,USA,3
1900,USA,3
1900,USA,3
1900,USA,3
1900,NED,1
1900,NED,1
1900,BEL,2
1900,GER,2
