country_code,year,medal_value
AFG,2008,1
AHO,1988,2
ALG,1984,2
ALG,1992,4
ALG,1996,7
ALG,2000,8
ALG,2008,3
ANZ,1908,51
ANZ,1912,22
ARG,1924,26
ARG,1928,62
ARG,1932,11
ARG,1936,23
ARG,1948,26
ARG,1952,12
ARG,1956,3
ARG,1960,7
ARG,1964,2
ARG,1968,2
ARG,1972,2
ARG,1988,14
ARG,1992,2
ARG,1996,39
ARG,2000,37
ARG,2004,99
ARG,2008,91
ARM,1996,5
ARM,2000,1
ARM,2008,6
AUS,1896,6
AUS,1900,9
AUS,1920,11
AUS,1924,21
AUS,1928,8
AUS,1932,12
AUS,1936,1
AUS,1948,29
AUS,1952,36
AUS,1956,119
AUS,1960,73
AUS,1964,63
AUS,1968,93
AUS,1972,49
AUS,1976,40
AUS,1980,24
AUS,1984,78
AUS,1988,76
AUS,1992,112
AUS,1996,212
AUS,2000,372
AUS,2004,333
AUS,2008,253
AUT,1896,10
AUT,1900,9
AUT,1904,1
AUT,1908,1
AUT,1912,23
AUT,1924,7
AUT,1928,8
AUT,1932,8
AUT,1936,101
AUT,1948,6
AUT,1952,4
AUT,1956,4
AUT,1960,7
AUT,1968,7
AUT,1972,4
AUT,1976,1
AUT,1980,10
AUT,1984,6
AUT,1988,3
AUT,1992,12
AUT,1996,4
AUT,2000,11
AUT,2004,18
AUT,2008,4
AZE,1996,2
AZE,2000,7
AZE,2004,7
AZE,2008,11
BAH,1956,2
BAH,1964,6
BAH,1992,1
BAH,1996,10
BAH,2000,18
BAH,2004,4
BAH,2008,9
BAR,2000,1
BDI,1996,3
BEL,1900,68
BEL,1908,57
BEL,1912,38
BEL,1920,368
BEL,1924,73
BEL,1928,6
BEL,1936,12
BEL,1948,24
BEL,1952,18
BEL,1956,4
BEL,1960,6
BEL,1964,7
BEL,1968,4
BEL,1972,4
BEL,1976,12
BEL,1980,3
BEL,1984,9
BEL,1988,2
BEL,1992,4
BEL,1996,12
BEL,2000,10
BEL,2004,5
BEL,2008,11
BER,1976,1
BLR,1996,31
BLR,2000,36
BLR,2004,27
BLR,2008,51
BOH,1900,3
BOH,1908,5
BRA,1920,10
BRA,1948,12
BRA,1952,5
BRA,1956,3
BRA,1960,13
BRA,1964,12
BRA,1968,5
BRA,1972,2
BRA,1976,3
BRA,1980,17
BRA,1984,73
BRA,1988,52
BRA,1992,41
BRA,1996,89
BRA,2000,60
BRA,2004,95
BRA,2008,137
BUL,1952,1
BUL,1956,23
BUL,1960,12
BUL,1964,21
BUL,1968,51
BUL,1972,44
BUL,1976,68
BUL,1980,156
BUL,1988,75
BUL,1992,30
BUL,1996,39
BUL,2000,29
BUL,2004,22
BUL,2008,8
BWI,1960,5
CAN,1900,4
CAN,1904,96
CAN,1908,93
CAN,1912,16
CAN,1920,39
CAN,1924,39
CAN,1928,52
CAN,1932,55
CAN,1936,36
CAN,1948,7
CAN,1952,9
CAN,1956,38
CAN,1960,18
CAN,1964,11
