country_code,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008
AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0
AHO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..
ALG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,4.0,7.0,8.0,..,3.0
ANZ,..,..,..,51.0,22.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ARG,..,..,..,..,..,..,26.0,62.0,11.0,23.0,26.0,12.0,3.0,7.0,2.0,2.0,2.0,..,..,..,14.0,2.0,39.0,37.0,99.0,91.0
ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.0,1.0,..,6.0
AUS,6.0,9.0,..,..,..,11.0,21.0,8.0,12.0,1.0,29.0,36.0,119.0,73.0,63.0,93.0,49.0,40.0,24.0,78.0,76.0,112.0,212.0,372.0,333.0,253.0
AUT,10.0,9.0,1.0,1.0,23.0,..,7.0,8.0,8.0,101.0,6.0,4.0,4.0,7.0,..,7.0,4.0,1.0,10.0,6.0,3.0,12.0,4.0,11.0,18.0,4.0
AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,7.0,7.0,11.0
BAH,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,6.0,..,..,..,..,..,..,1.0,10.0,18.0,4.0,9.0
BAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..
BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,..,..,..
BEL,..,68.0,..,57.0,38.0,368.0,73.0,6.0,..,12.0,24.0,18.0,4.0,6.0,7.0,4.0,4.0,12.0,3.0,9.0,2.0,4.0,12.0,10.0,5.0,11.0
BER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,..,..,..,..
BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.0,36.0,27.0,51.0
BOH,..,3.0,..,5.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
BRA,..,..,..,..,..,10.0,..,..,..,..,12.0,5.0,3.0,13.0,12.0,5.0,2.0,3.0,17.0,73.0,52.0,41.0,89.0,60.0,95.0,137.0
BUL,..,..,..,..,..,..,..,..,..,..,..,1.0,23.0,12.0,21.0,51.0,44.0,68.0,156.0,..,75.0,30.0,39.0,29.0,22.0,8.0
BWI,..,..,..,..,..,..,..,..,..,..,..,..,..,5.0,..,..,..,..,..,..,..,..,..,..,..,..
CAN,..,4.0,96.0,93.0,16.0,39.0,39.0,52.0,55.0,36.0,7.0,9.0,38.0,18.0,11.0,19.0,12.0,28.0,..,159.0,34.0,103.0,98.0,43.0,33.0,69.0
CHI,..,..,..,..,..,..,..,2.0,..,..,..,8.0,6.0,..,..,..,..,..,..,..,2.0,..,..,18.0,10.0,2.0
CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141.0,81.0,165.0,222.0,180.0,225.0,385.0
CIV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..,..
CMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,1.0,..,..,..,54.0,3.0,3.0
COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.0,..,..,2.0,1.0,1.0,..,3.0,2.0,3.0
CRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,3.0,2.0,..,..
CRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.0,74.0,12.0,51.0,7.0
CUB,..,5.0,19.0,..,..,..,..,..,..,..,4.0,..,..,..,2.0,20.0,29.0,40.0,43.0,..,..,172.0,143.0,148.0,131.0,85.0
CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.0,16.0,20.0,17.0
DEN,10.0,11.0,..,27.0,139.0,179.0,24.0,28.0,14.0,9.0,78.0,16.0,14.0,44.0,27.0,30.0,3.0,14.0,18.0,20.0,14.0,22.0,69.0,64.0,67.0,36.0
DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,..
DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,3.0,5.0
ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,..,..,2.0
EGY,..,..,..,..,..,..,..,9.0,..,10.0,11.0,1.0,..,3.0,..,..,..,..,..,2.0,..,..,..,..,8.0,1.0
ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..
ESP,..,6.0,..,..,..,48.0,..,9.0,1.0,..,6.0,2.0,..,14.0,..,..,1.0,12.0,47.0,37.0,9.0,174.0,136.0,69.0,50.0,133.0
EST,..,..,..,..,..,7.0,9.0,14.0,..,13.0,..,..,..,..,..,..,..,..,..,..,..,5.0,..,5.0,4.0,7.0
ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,3.0,5.0,2.0,..,8.0,..,..,5.0,7.0,17.0,14.0,16.0
EUA,..,..,..,..,..,..,..,..,..,..,..,..,104.0,189.0,203.0,..,..,..,..,..,..,..,..,..,..,..
EUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,472.0,..,..,..,..
